filename,status,bars,slow_ratio,center_ratio,fast_ratio,achievement,precision,balance,overall_score,rank,play_tendency,ranking_position,ranking_percentile,ranking_top_percent,ranking_title,error
12_守沢千秋_グラフ_Unbalanced Triangle.PNG,OK,3,0.060000,0.840000,0.100000,100.840,84.000,75.000,82.200,SS+,Amazing Specialist,212,11.78432462479155,11.78432462479155,シルバーランカー,
12_守沢千秋_グラフ_きたさいたま2000.PNG,OK,3,0.080925,0.791908,0.127168,100.792,79.191,77.778,78.908,S+,All Round Player,458,25.4585881045025,25.4585881045025,ブロンズランカー,
12_守沢千秋_グラフ_それは残像の消失店.png,OK,3,0.054726,0.766169,0.179104,100.766,76.617,46.809,70.655,AA+,Fast Type,1180,65.59199555308504,65.59199555308504,オレンジランカー,
12_守沢千秋_グラフ_らびゅ&ピース伝説.PNG,OK,3,0.075581,0.779070,0.145349,100.779,77.907,68.421,76.010,S,Fast Type,720,40.02223457476376,40.02223457476376,パープルランカー,
12_守沢千秋_グラフ_ゴーゴー・キッチン.PNG,OK,3,0.046243,0.832370,0.121387,100.832,83.237,55.172,77.624,S,Amazing Specialist,567,31.517509727626457,31.517509727626457,パープルランカー,
12_守沢千秋_グラフ_サヨナラ・ヘヴン.png,OK,3,0.110000,0.785000,0.105000,100.785,78.500,97.674,82.335,SS+,Balanced Player,201,11.172873818788217,11.172873818788217,シルバーランカー,
12_守沢千秋_グラフ_スキスキハンター♡(3DMV).PNG,OK,3,0.052023,0.820809,0.127168,100.821,82.081,58.065,77.278,S,Amazing Specialist,602,33.46303501945525,33.46303501945525,パープルランカー,
12_守沢千秋_グラフ_スキスキハンター♡(ムービー).PNG,OK,3,0.075145,0.786127,0.138728,100.786,78.613,70.270,76.944,S,Fast Type,633,35.18621456364647,35.18621456364647,パープルランカー,
12_守沢千秋_グラフ_セイクリッド ルイン.PNG,OK,3,0.034682,0.763006,0.202312,100.763,76.301,29.268,66.894,A+,Fast Type,1418,78.82156753752085,78.82156753752085,グリーンランカー,
12_守沢千秋_グラフ_セツナDrops.PNG,OK,3,0.040000,0.655000,0.305000,100.655,65.500,23.188,57.038,CCC,Fast Type,1733,96.33129516397999,96.33129516397999,ホワイトランカー,
12_守沢千秋_グラフ_催花雨の片道切符.png,OK,3,0.070000,0.775000,0.155000,100.775,77.500,62.222,74.444,AAA+,Fast Type,872,48.47137298499166,48.47137298499166,パープルランカー,
12_守沢千秋_グラフ_僕のウィーク・ポイント.PNG,OK,3,0.034682,0.849711,0.115607,100.850,84.971,46.154,77.208,S,Amazing Specialist,607,33.740967204002224,33.740967204002224,パープルランカー,
12_守沢千秋_グラフ_僕の気持ちを描く.png,OK,3,0.080402,0.849246,0.070352,100.849,84.925,93.333,86.606,SSS+,Precision Master,35,1.9455252918287937,1.9455252918287937,レインボーランカー,
12_守沢千秋_グラフ_朧.png,OK,3,0.119403,0.805970,0.074627,100.806,80.597,76.923,79.862,S+,Amazing Specialist,381,21.178432462479154,21.178432462479154,ブロンズランカー,
